time,x[m],y[m],rot[°]
04:53:01.534,0.5967,2.1047,49.8007
04:53:01.567,0.5951,2.1038,49.4864
04:53:01.567,0.5962,2.1036,49.0224
04:53:01.599,0.5950,2.1046,48.3185
04:53:01.631,0.5959,2.1005,46.7882
04:53:01.663,0.5947,2.1027,45.7030
04:53:01.663,0.5927,2.1017,46.0520
04:53:01.695,0.5929,2.1059,44.7349
04:53:01.727,0.5949,2.1069,44.3994
04:53:01.759,0.5921,2.1053,44.0449
04:53:01.791,0.5924,2.1056,44.0433
04:53:01.791,0.5890,2.1085,42.0345
04:53:01.823,0.5878,2.1084,42.3392
04:53:01.855,0.5878,2.1084,42.3392
04:53:01.887,0.5887,2.1086,42.1634
04:53:01.887,0.5872,2.1069,42.2899
04:53:01.920,0.5880,2.1069,42.0472
04:53:01.953,0.5906,2.1043,43.6606
04:53:01.983,0.5903,2.1031,43.4022
04:53:02.016,0.5890,2.1008,43.7798
04:53:02.016,0.5898,2.1012,43.6602
04:53:02.048,0.5851,2.1037,41.4891
04:53:02.081,0.5861,2.1007,40.2348
04:53:02.113,0.5859,2.0955,41.8436
04:53:02.113,0.5829,2.0969,43.1398
04:53:02.145,0.5848,2.0968,43.7382
04:53:02.176,0.5852,2.0974,43.8031
04:53:02.210,0.5829,2.0968,43.2921
04:53:02.242,0.5841,2.0974,43.1240
04:53:02.242,0.5894,2.1014,43.4378
04:53:02.274,0.5895,2.1009,43.2502
04:53:02.306,0.5937,2.0953,46.2916
04:53:02.338,0.5920,2.0980,47.6337
04:53:02.338,0.5930,2.0918,49.7170
04:53:02.371,0.5946,2.0925,49.4183
04:53:02.403,0.5882,2.0954,46.6613
04:53:02.435,0.5879,2.0941,46.3888
04:53:02.467,0.5845,2.0984,44.1570
04:53:02.467,0.5861,2.0977,43.5121
04:53:02.500,0.5870,2.0995,43.2452
04:53:02.532,0.5846,2.0979,43.4634
04:53:02.564,0.5858,2.0969,44.1340
04:53:02.564,0.5858,2.0969,44.1340
04:53:02.595,0.5847,2.0975,43.6229
04:53:02.628,0.5849,2.0927,42.0631
04:53:02.660,0.5843,2.0874,43.5620
04:53:02.692,0.5831,2.0847,43.0588
04:53:02.692,0.5777,2.0875,40.6307
04:53:02.724,0.5762,2.0809,38.8597
04:53:02.755,0.5737,2.0815,37.9523
04:53:02.788,0.5732,2.0858,39.5222
04:53:02.788,0.5791,2.0821,42.4209
04:53:02.819,0.5821,2.0791,40.5763
04:53:02.852,0.5845,2.0800,40.9464
04:53:02.883,0.5828,2.0786,40.9552
04:53:02.915,0.5845,2.0724,43.4961
04:53:02.915,0.5849,2.0699,42.5452
04:53:02.948,0.5851,2.0605,45.5234
04:53:02.981,0.5842,2.0638,46.7494
04:53:03.013,0.5799,2.0684,44.1250
04:53:03.013,0.5795,2.0676,44.0115
04:53:03.045,0.5837,2.0713,44.1222
04:53:03.078,0.5832,2.0751,45.4643
04:53:03.111,0.5819,2.0804,43.4293
04:53:03.111,0.5777,2.0847,46.1078
04:53:03.142,0.5739,2.0825,45.5905
04:53:03.174,0.5734,2.0846,46.3546
04:53:03.206,0.5768,2.0862,46.9544
04:53:03.238,0.5773,2.0876,47.2329
04:53:03.238,0.5758,2.0886,46.4706
04:53:03.270,0.5742,2.0874,46.6266
04:53:03.303,0.5656,2.0901,43.1931
04:53:03.335,0.5639,2.0906,43.8418
04:53:03.335,0.5625,2.0908,43.3679
04:53:03.367,0.5603,2.0934,44.7938
04:53:03.400,0.5593,2.0969,43.4284
04:53:03.434,0.5576,2.1001,44.9299
04:53:03.466,0.5561,2.1043,43.2121
04:53:03.466,0.5578,2.1054,43.0538
04:53:03.496,0.5628,2.1094,43.2529
04:53:03.528,0.5628,2.1114,43.8893
04:53:03.560,0.5635,2.1063,45.6899
04:53:03.560,0.5642,2.1072,45.7432
04:53:03.592,0.5688,2.1036,48.2452
04:53:03.625,0.5731,2.1003,45.9412
04:53:03.657,0.5827,2.1044,47.7894
04:53:03.689,0.5828,2.0988,45.9559
04:53:03.689,0.5794,2.1019,43.7728
