time,x[m],y[m],rot[°]
04:56:05.208,0.2978,0.2238,-10.9500
04:56:05.240,0.3003,0.2331,-12.6826
04:56:05.240,0.2991,0.2358,-12.2692
04:56:05.272,0.3118,0.2331,-12.2861
04:56:05.306,0.3140,0.2330,-12.2103
04:56:05.340,0.3076,0.2343,-12.1972
04:56:05.368,0.3088,0.2331,-12.3685
04:56:05.368,0.3080,0.2287,-11.5552
04:56:05.400,0.3121,0.2301,-11.1638
04:56:05.432,0.3121,0.2301,-11.1638
04:56:05.465,0.3156,0.2310,-10.8811
04:56:05.465,0.3220,0.2252,-10.0615
04:56:05.497,0.3263,0.2264,-9.7104
04:56:05.528,0.3359,0.2282,-10.3282
04:56:05.561,0.3361,0.2315,-9.7102
04:56:05.593,0.3375,0.2389,-11.0933
04:56:05.593,0.3374,0.2394,-11.0080
04:56:05.625,0.3289,0.2380,-10.4788
04:56:05.657,0.3294,0.2360,-10.8125
04:56:05.690,0.3154,0.2338,-9.9696
04:56:05.690,0.3190,0.2407,-8.6851
04:56:05.722,0.3232,0.2353,-7.8611
04:56:05.755,0.3254,0.2361,-7.6767
04:56:05.789,0.3237,0.2359,-7.6041
04:56:05.818,0.3250,0.2338,-7.9234
04:56:05.818,0.3279,0.2270,-6.8180
04:56:05.851,0.3312,0.2246,-7.1540
04:56:05.882,0.3328,0.2223,-6.7868
04:56:05.914,0.3346,0.2246,-6.3551
04:56:05.914,0.3488,0.2222,-6.2093
04:56:05.946,0.3468,0.2158,-7.3961
04:56:05.979,0.3490,0.2151,-7.3238
04:56:06.011,0.3466,0.2118,-7.9815
04:56:06.011,0.3491,0.2137,-8.3899
04:56:06.044,0.3530,0.2164,-7.7886
04:56:06.076,0.3597,0.2124,-7.2100
04:56:06.108,0.3612,0.2148,-6.7205
04:56:06.141,0.3586,0.2202,-7.6327
04:56:06.141,0.3596,0.2211,-7.4385
04:56:06.173,0.3666,0.2196,-7.3243
04:56:06.207,0.3625,0.2143,-8.4154
04:56:06.240,0.3634,0.2147,-8.5160
04:56:06.240,0.3597,0.2111,-9.2944
04:56:06.273,0.3592,0.2059,-8.2882
04:56:06.301,0.3580,0.2069,-8.1280
04:56:06.333,0.3555,0.2029,-7.2967
04:56:06.333,0.3518,0.2021,-7.5441
04:56:06.366,0.3436,0.2125,-9.2743
04:56:06.398,0.3412,0.2132,-9.1995
04:56:06.430,0.3406,0.2156,-9.6091
04:56:06.463,0.3404,0.2155,-9.6297
04:56:06.463,0.3385,0.2140,-9.3060
04:56:06.494,0.3355,0.2157,-9.0916
04:56:06.525,0.3302,0.2169,-9.1669
04:56:06.560,0.3246,0.2179,-9.1542
04:56:06.560,0.3261,0.2198,-9.5490
04:56:06.589,0.3302,0.2180,-9.7536
04:56:06.623,0.3330,0.2218,-10.5614
04:56:06.656,0.3297,0.2234,-10.3767
04:56:06.690,0.3226,0.2250,-10.4289
04:56:06.690,0.3224,0.2276,-9.9513
04:56:06.718,0.3227,0.2276,-9.9543
04:56:06.751,0.3208,0.2307,-9.4342
04:56:06.783,0.3203,0.2324,-9.7295
04:56:06.783,0.3195,0.2351,-9.2457
04:56:06.815,0.3206,0.2358,-9.4009
04:56:06.847,0.3237,0.2395,-8.6023
04:56:06.878,0.3196,0.2433,-9.1750
04:56:06.910,0.3260,0.2509,-7.6229
04:56:06.910,0.3296,0.2407,-5.8510
04:56:06.943,0.3294,0.2412,-5.7648
04:56:06.975,0.3303,0.2406,-5.6738
04:56:07.008,0.3306,0.2397,-5.8470
04:56:07.008,0.3399,0.2371,-5.5412
04:56:07.040,0.3336,0.2453,-4.0711
04:56:07.074,0.3654,0.2309,-1.3990
04:56:07.108,0.3544,0.2394,0.5071
04:56:07.134,0.4461,0.1797,21.5546
04:56:07.134,0.4401,0.1821,23.1114
04:56:07.167,0.4870,0.1314,47.9146
04:56:07.199,0.4801,0.1366,51.0993
04:56:07.231,0.4862,0.1222,55.9705
04:56:07.231,0.4852,0.1198,55.7942
04:56:07.263,0.4852,0.1198,55.7942
04:56:07.295,0.4812,0.1133,55.6645
04:56:07.327,0.4841,0.1065,57.9407
04:56:07.359,0.4937,0.0959,52.7712
04:56:07.359,0.4942,0.0905,54.0912
04:56:07.391,0.4929,0.0851,53.2710
04:56:07.457,0.4923,0.0890,52.1810
