time,x[m],y[m],rot[°]
04:44:04.806,0.7931,0.4463,129.2961
04:44:04.840,0.7964,0.4431,129.0195
04:44:04.873,0.7963,0.4390,127.7121
04:44:04.907,0.7923,0.4419,128.3545
04:44:04.939,0.7848,0.4459,126.6458
04:44:04.939,0.7895,0.4408,126.2219
04:44:04.967,0.7897,0.4399,126.0037
04:44:05.000,0.7899,0.4410,125.5532
04:44:05.032,0.7938,0.4361,125.6833
04:44:05.064,0.7934,0.4377,125.3895
04:44:05.064,0.7905,0.4398,124.8101
04:44:05.096,0.7902,0.4384,125.3435
04:44:05.128,0.7892,0.4406,125.5910
04:44:05.159,0.7873,0.4427,125.7269
04:44:05.159,0.7898,0.4378,125.2973
04:44:05.192,0.7893,0.4379,125.4603
04:44:05.224,0.7819,0.4441,124.1703
04:44:05.256,0.7821,0.4450,123.8120
04:44:05.291,0.7884,0.4388,124.6902
04:44:05.291,0.7899,0.4398,123.8261
04:44:05.325,0.7848,0.4452,123.1766
04:44:05.356,0.7840,0.4436,123.9537
04:44:05.386,0.7825,0.4432,123.1892
04:44:05.386,0.7830,0.4455,122.3571
04:44:05.418,0.7851,0.4477,123.8940
04:44:05.450,0.7822,0.4495,124.5942
04:44:05.482,0.7816,0.4530,125.3415
04:44:05.514,0.7822,0.4523,125.2778
04:44:05.514,0.7818,0.4535,125.4647
04:44:05.546,0.7832,0.4544,124.5953
04:44:05.578,0.7856,0.4510,124.6113
04:44:05.610,0.7862,0.4528,123.8153
04:44:05.610,0.7861,0.4518,123.4433
04:44:05.642,0.7855,0.4490,124.4391
04:44:05.674,0.7828,0.4509,123.8300
04:44:05.707,0.7830,0.4491,124.2609
04:44:05.740,0.7869,0.4470,125.2851
04:44:05.740,0.7865,0.4478,125.2079
04:44:05.771,0.7883,0.4474,125.8249
04:44:05.808,0.7882,0.4469,126.0022
04:44:05.836,0.7882,0.4469,126.0022
04:44:05.836,0.7894,0.4482,125.1370
04:44:05.868,0.7865,0.4508,124.6722
04:44:05.901,0.7878,0.4499,124.3907
04:44:05.933,0.7869,0.4526,124.7968
04:44:05.933,0.7879,0.4513,124.7318
04:44:05.965,0.7913,0.4470,124.8976
04:44:05.997,0.7923,0.4457,124.8377
04:44:06.029,0.7916,0.4442,124.0759
04:44:06.061,0.7897,0.4450,124.6421
04:44:06.061,0.7862,0.4481,124.0391
04:44:06.092,0.7843,0.4463,125.4110
04:44:06.124,0.7893,0.4404,125.7376
04:44:06.157,0.7879,0.4403,126.3424
04:44:06.157,0.7925,0.4351,126.6364
04:44:06.191,0.7945,0.4389,124.8457
04:44:06.224,0.7870,0.4431,123.0256
04:44:06.256,0.7870,0.4443,122.7311
04:44:06.285,0.7804,0.4486,121.0828
04:44:06.285,0.7784,0.4499,121.6350
04:44:06.317,0.7778,0.4504,121.5175
04:44:06.349,0.7775,0.4512,121.4682
04:44:06.380,0.7827,0.4463,122.3828
04:44:06.380,0.7822,0.4462,122.6172
04:44:06.412,0.7894,0.4394,123.6795
04:44:06.444,0.7891,0.4430,122.9200
04:44:06.477,0.7833,0.4484,122.0554
04:44:06.509,0.7815,0.4468,123.1655
04:44:06.509,0.7823,0.4478,123.7071
04:44:06.541,0.7846,0.4470,123.0104
04:44:06.573,0.7926,0.4461,125.8143
04:44:06.606,0.7927,0.4476,125.4014
04:44:06.606,0.7860,0.4523,124.1203
04:44:06.639,0.7876,0.4515,123.7157
04:44:06.672,0.7876,0.4515,123.7157
04:44:06.701,0.7876,0.4515,123.7157
04:44:06.732,0.7869,0.4524,123.6730
04:44:06.732,0.7869,0.4551,122.9586
04:44:06.765,0.7864,0.4527,122.1827
04:44:06.797,0.7863,0.4509,122.6847
04:44:06.830,0.7842,0.4469,120.8500
04:44:06.830,0.7825,0.4446,122.0933
04:44:06.863,0.7823,0.4411,121.1517
04:44:06.894,0.7820,0.4396,121.6051
04:44:06.925,0.7782,0.4367,119.3805
04:44:06.957,0.7787,0.4355,119.4274
04:44:06.957,0.7858,0.4296,120.8745
04:44:06.990,0.7859,0.4311,120.5197
04:44:07.023,0.7761,0.4345,117.4562
